#metadataBlock	name	dataverseAlias	displayName												
	crc1218_elisa_v1	crc1218_elisa_v1	CRC1218 ELISA v1												
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id
	crc1218_elisa_v1_doe	Date of experiment	date or a rough date when the assay was performed	2025-05	text	1		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		crc1218_elisa_v1
	crc1218_elisa_v1_assayapp	Assay application	The specific purpose of performing ELISA. If not in the list, select Other and fill it in the next field.	Detection of immune cell markers	text	2		TRUE	TRUE	TRUE	TRUE	TRUE	TRUE		crc1218_elisa_v1
	crc1218_elisa_v1_otcassayapp	Other assay application			text	3		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		crc1218_elisa_v1
	crc1218_elisa_v1_assaytype	ELISA type	The format of the assay used to capture and detect the analyte.	sandwich	text	4		FALSE	TRUE	FALSE	TRUE	TRUE	FALSE		crc1218_elisa_v1
	crc1218_elisa_v1_assaytarget	ELISA target	The specific molecules being measured.	Interleukin-6	text	5		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		crc1218_elisa_v1
	crc1218_elisa_v1_assaykit	Assay kit	The title of the kit/biologicals used.	Bio-Rad TeSeE ELISA	text	10		FALSE	FALSE	TRUE	TRUE	TRUE	FALSE		crc1218_elisa_v1
	crc1218_elisa_v1_sampleinfo	Sample group	A category header for the sample information below.		none	12	;	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		crc1218_elisa_v1
	crc1218_elisa_v1_samplegrp	Group	"A label to categorize the samples, such as ""Control"", ""Treatment"", ""Disease"", or ""Healthy"". or collection time points, etc."	Healthy	text	0	#VALUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	crc1218_elisa_v1_sampleinfo	crc1218_elisa_v1
	crc1218_elisa_v1_sampletyp	Sample type	A description of the physical nature of the sample.	Serum	text	3	#VALUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	crc1218_elisa_v1_sampleinfo	crc1218_elisa_v1
	crc1218_elisa_v1_platetyp	Plate Type	The material and format of the plate used for the assay.	96-well polystyrene, high-binding	text	20		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		crc1218_elisa_v1
	crc1218_elisa_v1_prmantibody	Capture antibody	If using a custom assay, please specify the primary antibody and vendor.	Anti-EGFR, Abcam	text	21		FALSE	FALSE	TRUE	TRUE	TRUE	FALSE		crc1218_elisa_v1
	crc1218_elisa_v1_detectmethod	Detection method	Please specify the final signal generation system.	Fluorescence	text	22		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		crc1218_elisa_v1
	crc1218_elisa_v1_qc	Quality control	A list of the checks performed to ensure the data is reliable.		text	30		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		crc1218_elisa_v1
	crc1218_elisa_v1_relvpaper	Associated literature (link)	Link or DOI of the literature that is relevant to this experiment.	doi.org/10.1016/j.ebiom.2025.105716	text	31	"<a href=""#VALUE"">#VALUE</a>"	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		crc1218_elisa_v1
	crc1218_elisa_v1_finddata	How to find relevant data	(For metadata provider) Local path, folder name where data are store, private repository, etc. (For sharing) path in shared folder, link to public repository, etc.	M:\phd_project\2025-05_ELISA_WT_002	text	32	"<a href=""#VALUE"">#VALUE</a>"	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE		crc1218_elisa_v1
	crc1218_elisa_v1_notes	Notes	Notes about this experiment. Either for fellow researchers or to the metadata provider in the future.	E.g. Relevant details of the protocol used for this experiment	textbox	33		FALSE	FALSE	FALSE	FALSE	TRUE	FALSE		crc1218_elisa_v1
#controlledVocabulary	DatasetField	Value	identifier	displayOrder											
	crc1218_elisa_v1_assayapp	Detection of Immune Cell Markers	APP_DET_CELLMARKER	0											
	crc1218_elisa_v1_assayapp	Detection of Immunomodulatory Proteins	APP_DET_IMMUNOPROT	1											
	crc1218_elisa_v1_assayapp	Quantification of Angiogenic and/or Lymphangiogenic Factors	APP_QUAN_ANGIO	3											
	crc1218_elisa_v1_assayapp	Quantification of Inflammatory Cytokines and Chemokines	APP_QUAN_CYTOK	15											
	crc1218_elisa_v1_assayapp	Other	APP_OTHER	2											
	crc1218_elisa_v1_assaytype	Direct	NCIT_C187894	0											
	crc1218_elisa_v1_assaytype	Indirect	NCIT_C187895	1											
	crc1218_elisa_v1_assaytype	Sandwich	NCIT_C187899	2											
	crc1218_elisa_v1_assaytype	Competitive	NCIT_C178028	3											
